Time,Estado,Estadio_principal,Latitude,Longitude
América-MG,mg,independência,-19.90843627204966,-43.9178774589209
América-RN,rn,arena_das_dunas,-5.826698477559041,-35.2123459439974
Athletico-PR,pr,arena_da_baixada,-25.448114688556643,-49.27697587298264
Atlético-GO,go,estádio_antônio_accioly,-16.66997965131651,-49.28416572894926
Atlético-MG,mg,mineirão,-19.86561471390002,-43.97115296124749
Avaí,sc,ressacada,-27.666505352309763,-48.53138357924028
Bahia,ba,arena_fonte_nova,-12.978740105448797,-38.50415932269245
Botafogo,rj,engenhão,-22.893123471886135,-43.292328363967094
Bragantino,sp,nabi_abi_chedid,-22.96537531313769,-46.537493858139726
Brasiliense,df,boca_do_jacaré,-15.835817506511873,-48.08062498812541
CSA,al,rei_pelé,-9.670597223650082,-35.75941581534227
Ceará,ce,arena_castelão,-3.8070692903517545,-38.52218633662085
Chapecoense,sc,arena_condá,-27.07067939362239,-52.59866358389038
Corinthians,sp,neo_química_arena,-23.545223712987532,-46.47425687287294
Coritiba,pr,couto_pereira,-25.420733607076304,-49.25895459079351
Criciúma,sc,heriberto_hülse,-28.68374738238191,-49.366559112434075
Cruzeiro,mg,mineirão,-19.86564498503888,-43.97115296084488
Cuiabá,mt,arena_pantanal,-15.603781709116362,-56.12158158720092
Figueirense,sc,orlando_scarpelli,-27.58542804053808,-48.58621838349835
Flamengo,rj,maracanã,-22.911950749578747,-43.22999486981032
Fluminense,rj,maracanã,-22.911950749578747,-43.22999486981032
Fortaleza,ce,arena_castelão,-3.8071014046129745,-38.52180009689286
Goiás,go,olímpico,-16.670380547627946,-49.26140000528959
Grêmio,rs,arena_grêmio,-29.97385123242416,-51.194626310020766
Grêmio Prudente,sp,prudentão_,-22.098271427820176,-51.414625312036456
Guarani,sp,brinco_de_ouro,-22.909455865279394,-47.04324821995336
Internacional,rs,beira-rio,-30.06529170505942,-51.23542012062824
Ipatinga,mg,ipatingão,-19.470839676548167,-42.541159017353685
Joinville,sc,arena_joinville,-26.316500312511007,-48.832717504191606
Juventude,rs,alfredo_jaconi,-29.162098474172964,-51.17594313928756
Náutico,pe,aflitos,-8.040392810042057,-34.89613115306474
Palmeiras,sp,allianz_parque,-23.52740276081273,-46.678122448959726
Paraná,pr,vila_capanema,-25.43932800257753,-49.25584163659312
Paysandu,pa,banpará_curuzu,-1.4437122648697767,-48.462777372551955
Ponte Preta,sp,moisés_lucarelli,-22.91243748605406,-47.05004324777604
Portuguesa,sp,canindé,-23.520264991321838,-46.61805552452461
Santa Cruz,pe,arruda,-8.026561076095936,-34.8905103839245
Santo André,sp,estádio_bruno_josé_daniel,-23.669776402740208,-46.5096118379476
Santos,sp,vila_belmiro,-23.95076741175785,-46.33883525151636
Sport,pe,ilha_do_retiro,-8.06236603764975,-34.90288627869068
São Caetano,sp,anacleto_campanella,-23.630613046737622,-46.559819337464745
São Paulo,sp,morumbi,-23.599783986237853,-46.71969323783951
Vasco,rj,são_januário,-22.890986858792076,-43.22797832983569
Vitória,ba,barradão,-12.91935026141674,-38.42739558552038
